,skc,ie,discount,fashion_level,s
0,796573650638,668.0,0.8705606943017015,1,126
1,796573650638,550.3333333333334,0.8847322142286171,1,90
2,796573650638,474.0,0.8961330935251799,1,16
3,796573650638,495.0,0.762589928057554,1,12
4,396573870660,573.7142857142857,0.8709775905232948,1,103
5,396573870660,410.0,0.8747855917667239,1,22
6,396573870660,413.0,0.8757861635220126,1,4
7,396573870660,419.0,0.7358490566037735,1,3
8,690572114917,558.5714285714286,None,None,118
9,690572114917,497.0,None,None,60
10,690572114917,420.0,None,None,12
11,690572114917,487.0,None,None,7
12,996573870572,501.2857142857143,0.8928516643657003,1,82
13,996573870572,394.6666666666667,0.8808962264150944,1,32
14,996573870572,425.0,0.8941299790356395,1,6
15,996573870572,396.0,0.6981132075471698,1,8
16,996572333025,607.5714285714286,0.8685361073420775,1,67
17,996572333025,478.6666666666667,0.8686868686868687,1,26
18,996572333025,532.0,0.8484848484848485,1,2
19,996572333025,502.0,0.696969696969697,1,1
20,802573650495,294.85714285714283,0.8468814661543009,1,51
21,802573650495,211.0,0.8944723618090452,1,34
22,802573650495,241.0,0.9723618090452262,1,2
23,802573650495,244.0,0.6984924623115578,1,3
24,496572333586,324.2857142857143,0.8723599632690542,0,33
25,496572333586,192.66666666666666,0.7575757575757576,0,6
26,496572333586,244.0,0.9393939393939394,0,1
27,496572333586,218.0,0.7575757575757576,0,3
28,302572775577,622.4285714285714,0.8904109589041096,0,73
29,302572775577,413.3333333333333,0.864406779661017,0,80
30,302572775577,561.0,0.8762711864406779,0,10
31,302572775577,413.0,0.7330508474576272,0,8
32,408572660891,811.7142857142857,None,None,89
33,408572660891,598.6666666666666,None,None,26
34,408572660891,684.0,None,None,1
35,408572660891,621.0,None,None,7
36,499572333179,540.2857142857143,0.8878525427492783,1,57
37,499572333179,437.0,0.8734177215189873,1,12
38,499572333179,413.0,0.8481012658227848,1,1
39,499572333179,426.0,0.7974683544303798,1,5
40,196573870759,345.2857142857143,0.8893939393939394,0,40
41,196573870759,213.33333333333334,0.898989898989899,0,2
42,196573870759,265.0,0.8914141414141414,0,4
43,196573870759,226.0,0.696969696969697,0,3
44,100572118316,597.5714285714286,0.9072591061741151,1,98
45,100572118316,356.3333333333333,0.8932489451476793,1,60
46,100572118316,482.0,0.8544303797468354,1,10
47,100572118316,367.0,0.7251356238698011,1,7
48,102573650748,393.57142857142856,0.8662956427310982,0,53
49,102573650748,222.0,0.9415467625899281,0,16
50,102573650748,319.0,0.883453237410072,0,5
51,102573650748,266.0,0.697841726618705,0,2
52,902573870176,192.85714285714286,None,None,32
53,902573870176,104.66666666666667,None,None,0
54,902573870176,134.0,None,None,0
55,902573870176,117.0,None,None,2
56,490572114587,339.7142857142857,None,None,84
57,490572114587,268.0,None,None,56
58,490572114587,228.0,None,None,3
59,490572114587,273.0,None,None,7
60,902572118613,183.14285714285714,0.8949494949494949,0,40
61,902572118613,274.0,0.8961616161616162,0,50
62,902572118613,256.0,0.8672438672438673,0,7
63,902572118613,275.0,0.696969696969697,0,5
64,896572118954,432.42857142857144,0.8878787878787879,0,60
65,896572118954,85.66666666666667,0.9090909090909091,0,10
66,896572118954,258.0,0.4225589225589225,0,12
67,896572118954,162.0,0.7194163860830527,0,9
68,496572117700,300.42857142857144,0.835427135678392,1,32
69,496572117700,204.33333333333334,0.8994974874371859,1,10
70,496572117700,282.0,0.8944723618090452,1,2
71,496572117700,229.0,None,1,0
72,596572118723,256.7142857142857,0.875134091396696,0,59
73,596572118723,204.0,0.8331415420023014,0,22
74,596572118723,203.0,0.9588607594936709,0,4
75,596572118723,226.0,0.6962025316455697,0,9
76,902573320275,465.42857142857144,None,None,102
77,902573320275,581.6666666666666,None,None,84
78,902573320275,466.0,None,None,13
79,902573320275,512.0,None,None,17
80,433572114917,339.7142857142857,None,None,70
81,433572114917,301.6666666666667,None,None,60
82,433572114917,228.0,None,None,7
83,433572114917,353.0,None,None,16
84,896573870660,266.57142857142856,0.897563676633444,1,28
85,896573870660,155.33333333333334,0.8837209302325582,1,6
86,896573870660,192.0,None,1,0
87,896573870660,165.0,None,1,0
88,602572551672,293.14285714285717,0.8571069182389937,1,25
89,602572551672,207.0,0.8553459119496856,1,14
90,602572551672,278.0,0.889937106918239,1,2
91,602572551672,235.0,0.6981132075471698,1,1
92,391572223674,431.57142857142856,None,None,84
93,391572223674,355.0,None,None,86
94,391572223674,445.0,None,None,11
95,391572223674,296.0,None,None,13
96,890572114477,305.0,None,None,51
97,890572114477,310.6666666666667,None,None,30
98,890572114477,252.0,None,None,7
99,890572114477,161.0,None,None,6
100,390572118052,312.2857142857143,0.8471667996807661,1,42
101,390572118052,249.0,0.8662709497206704,1,32
102,390572118052,231.0,0.8519553072625698,1,2
103,390572118052,258.0,0.7150837988826816,1,6
104,696572117667,267.2857142857143,0.8622397155916709,1,44
105,696572117667,259.6666666666667,0.883302296710118,1,18
106,696572117667,200.0,0.8659217877094972,1,1
107,696572117667,251.0,0.7270550678371906,1,7
108,402573650792,259.2857142857143,0.8794296788482836,0,56
109,402573650792,215.66666666666666,0.8959025470653378,0,28
110,402573650792,255.0,0.8790697674418605,0,5
111,402573650792,254.0,0.09302325581395349,0,1
112,502573650759,199.71428571428572,0.8854256854256854,0,35
113,502573650759,199.33333333333334,0.9232323232323232,0,30
114,502573650759,122.0,0.9191919191919192,0,1
115,502573650759,166.0,0.7643097643097643,0,3
116,608572774763,717.8571428571429,0.8953014374597726,1,79
117,608572774763,591.6666666666666,0.8847457627118644,1,90
118,608572774763,585.0,0.8728813559322034,1,4
119,608572774763,578.0,0.7810734463276836,1,12
120,296572551749,167.85714285714286,0.8945147679324894,0,39
121,296572551749,300.0,0.8746232670283304,0,42
122,296572551749,297.0,1.0,0,1
123,296572551749,322.0,None,0,0
124,102572118283,389.42857142857144,0.8829632703880472,1,61
125,102572118283,213.66666666666666,0.8838421444527178,1,34
126,102572118283,250.0,0.879746835443038,1,8
127,102572118283,178.0,0.6962025316455697,1,3
128,690572118833,253.42857142857142,0.8696461824953445,0,15
129,690572118833,269.3333333333333,0.7653631284916201,0,10
130,690572118833,242.0,0.5726256983240223,0,2
131,690572118833,277.0,0.8715083798882681,0,1
132,496573321265,251.71428571428572,0.9157613874595006,0,53
133,496573321265,304.0,0.843939393939394,0,40
134,496573321265,206.0,0.9343434343434344,0,6
135,496573321265,263.0,0.8484848484848485,0,6
136,596572118162,104.28571428571429,0.8834110592938041,1,19
137,596572118162,169.33333333333334,0.8743218806509945,1,28
138,596572118162,187.0,0.8691983122362869,1,6
139,596572118162,218.0,0.7800632911392406,1,8
140,802573870715,236.28571428571428,0.8401162790697675,1,8
141,802573870715,170.66666666666666,0.8546511627906976,1,8
142,802573870715,204.0,0.29457364341085274,1,1
143,802573870715,186.0,0.6976744186046512,1,1
144,496572118514,291.85714285714283,0.8868686868686869,0,50
145,496572118514,271.3333333333333,0.9124579124579125,0,24
146,496572118514,221.0,0.6902356902356903,0,3
147,496572118514,226.0,0.797979797979798,0,3
148,702573650594,194.28571428571428,0.8911616161616162,1,40
149,702573650594,189.33333333333334,0.8911335578002244,1,36
150,702573650594,242.0,0.8434343434343434,1,2
151,702573650594,229.0,0.696969696969697,1,2
152,696572115379,394.85714285714283,0.907364114552893,1,58
153,696572115379,184.0,0.8908898305084746,1,32
154,696572115379,265.0,0.837772397094431,1,7
155,696572115379,192.0,1.0,1,1
156,102573321111,459.7142857142857,0.9043583535108959,1,56
157,102573321111,325.0,0.8174706649282921,1,52
158,102573321111,373.0,0.9152542372881356,1,12
159,102573321111,336.0,0.7711864406779662,1,4
160,396573870484,381.0,0.8802557953637091,1,45
161,396573870484,296.6666666666667,0.8201438848920863,1,4
162,396573870484,348.0,0.8489208633093526,1,1
163,396573870484,332.0,0.7410071942446043,1,2
164,296572114433,377.14285714285717,None,None,78
165,296572114433,331.0,None,None,68
166,296572114433,276.0,None,None,13
167,296572114433,309.0,None,None,15
168,596573650847,274.14285714285717,0.8862871135598408,0,66
169,596573650847,323.3333333333333,0.8920236851271335,0,58
170,596573650847,321.0,0.8653198653198653,0,3
171,596573650847,321.0,0.696969696969697,0,7
172,702573870715,412.0,0.884221055263816,1,31
173,702573870715,351.3333333333333,0.9413067552602435,1,14
174,702573870715,355.0,0.9366925064599483,1,6
175,702573870715,353.0,0.6124031007751938,1,1
176,702572225797,538.0,0.8779661016949153,1,80
177,702572225797,335.3333333333333,0.9121155053358443,1,54
178,702572225797,355.0,0.9397363465160076,1,9
179,702572225797,241.0,0.7401129943502825,1,9
180,696573650781,124.57142857142857,0.8812984496124031,0,16
181,696573650781,47.333333333333336,0.8992248062015504,0,2
182,696573650781,87.0,0.599483204134367,0,3
183,696573650781,58.0,0.8488372093023255,0,2
184,396572118745,186.85714285714286,0.8686868686868687,0,27
185,396572118745,71.33333333333333,0.8831168831168832,0,14
186,396572118745,128.0,0.8484848484848485,0,1
187,396572118745,91.0,0.7373737373737373,0,5
188,802573650803,81.85714285714286,0.8269472361809045,0,16
189,802573650803,196.66666666666666,0.8550444530344027,0,26
190,802573650803,140.0,0.8743718592964824,0,8
191,802573650803,161.0,0.7738693467336684,0,2
192,702573870858,188.42857142857142,0.8840190816935004,0,26
193,702573870858,105.0,0.937984496124031,0,4
194,702573870858,137.0,0.8604651162790697,0,1
195,702573870858,117.0,None,0,0
196,790572118833,276.14285714285717,0.8597122302158273,0,20
197,790572118833,225.66666666666666,0.8877697841726618,0,20
198,790572118833,258.0,0.8489208633093526,0,1
199,790572118833,251.0,0.8489208633093526,0,2
