date_rcd,skc,s,real_cost
2018-10-01,100572118316,23,2060.0
2018-10-02,100572118316,17,1498.75
2018-10-03,100572118316,15,1367.5
2018-10-04,100572118316,12,1062.5
2018-10-05,100572118316,8,730.0
2018-10-06,100572118316,15,1332.5
2018-10-07,100572118316,8,728.75
2018-10-01,102572118283,14,1218.75
2018-10-02,102572118283,9,780.0
2018-10-03,102572118283,10,895.0
2018-10-04,102572118283,6,520.0
2018-10-05,102572118283,9,793.75
2018-10-06,102572118283,10,856.25
2018-10-07,102572118283,3,255.0
2018-10-01,102573321111,13,855.0
2018-10-02,102573321111,4,257.5
2018-10-03,102573321111,9,605.0
2018-10-04,102573321111,7,470.0
2018-10-05,102573321111,5,346.25
2018-10-06,102573321111,10,658.75
2018-10-07,102573321111,8,542.5
2018-10-01,102573650748,5,721.25
2018-10-02,102573650748,10,1538.75
2018-10-03,102573650748,9,1375.0
2018-10-04,102573650748,7,1066.25
2018-10-05,102573650748,10,1503.75
2018-10-06,102573650748,5,730.0
2018-10-07,102573650748,7,1042.5
2018-10-01,196573870759,10,1067.5
2018-10-02,196573870759,6,651.25
2018-10-03,196573870759,5,555.0
2018-10-04,196573870759,7,772.5
2018-10-05,196573870759,5,558.75
2018-10-06,196573870759,4,465.0
2018-10-07,196573870759,3,332.5
2018-10-01,296572114433,14,931.25
2018-10-02,296572114433,9,615.0
2018-10-03,296572114433,9,583.75
2018-10-04,296572114433,16,1087.5
2018-10-05,296572114433,12,806.25
2018-10-06,296572114433,11,703.75
2018-10-07,296572114433,7,463.75
2018-10-01,296572551749,11,965.0
2018-10-02,296572551749,2,170.0
2018-10-03,296572551749,8,758.75
2018-10-04,296572551749,6,522.5
2018-10-05,296572551749,4,332.5
2018-10-06,296572551749,2,190.0
2018-10-07,296572551749,6,506.25
2018-10-01,302572775577,13,871.25
2018-10-02,302572775577,12,778.75
2018-10-03,302572775577,8,528.75
2018-10-04,302572775577,13,826.25
2018-10-05,302572775577,11,723.75
2018-10-06,302572775577,9,598.75
2018-10-07,302572775577,7,466.25
2018-10-01,390572118052,6,1125.0
2018-10-02,390572118052,8,1507.5
2018-10-03,390572118052,8,1508.75
2018-10-04,390572118052,3,565.0
2018-10-05,390572118052,8,1527.5
2018-10-06,390572118052,4,768.75
2018-10-07,390572118052,5,958.75
2018-10-01,391572223674,17,1113.75
2018-10-02,391572223674,11,731.25
2018-10-03,391572223674,15,1015.0
2018-10-04,391572223674,12,840.0
2018-10-05,391572223674,6,403.75
2018-10-06,391572223674,3,196.25
2018-10-07,391572223674,20,1333.75
2018-10-01,396572118745,6,651.25
2018-10-02,396572118745,5,541.25
2018-10-03,396572118745,4,436.25
2018-10-04,396572118745,2,211.25
2018-10-05,396572118745,6,623.75
2018-10-06,396572118745,3,333.75
2018-10-07,396572118745,1,105.0
2018-10-01,396573870484,12,1816.25
2018-10-02,396573870484,8,1220.0
2018-10-03,396573870484,8,1223.75
2018-10-04,396573870484,6,908.75
2018-10-05,396573870484,2,296.25
2018-10-06,396573870484,4,640.0
2018-10-07,396573870484,5,777.5
2018-10-01,396573870660,20,3433.75
2018-10-02,396573870660,17,2952.5
2018-10-03,396573870660,17,3021.25
2018-10-04,396573870660,7,1250.0
2018-10-05,396573870660,15,2533.75
2018-10-06,396573870660,13,2232.5
2018-10-07,396573870660,14,2406.25
2018-10-01,402573650792,13,1876.25
2018-10-02,402573650792,9,1253.75
2018-10-03,402573650792,11,1572.5
2018-10-04,402573650792,9,1252.5
2018-10-05,402573650792,5,722.5
2018-10-06,402573650792,4,570.0
2018-10-07,402573650792,5,693.75
2018-10-01,408572660891,25,2157.5
2018-10-02,408572660891,21,1833.75
2018-10-03,408572660891,10,883.75
2018-10-04,408572660891,10,863.75
2018-10-05,408572660891,10,860.0
2018-10-06,408572660891,4,366.25
2018-10-07,408572660891,9,798.75
2018-10-01,433572114917,17,1456.25
2018-10-02,433572114917,9,785.0
2018-10-03,433572114917,15,1351.25
2018-10-04,433572114917,10,878.75
2018-10-05,433572114917,5,466.25
2018-10-06,433572114917,7,618.75
2018-10-07,433572114917,7,601.25
2018-10-01,490572114587,19,1987.5
2018-10-02,490572114587,14,1518.75
2018-10-03,490572114587,10,1148.75
2018-10-04,490572114587,8,868.75
2018-10-05,490572114587,8,827.5
2018-10-06,490572114587,12,1320.0
2018-10-07,490572114587,13,1467.5
2018-10-01,496572117700,7,1477.5
2018-10-02,496572117700,6,1267.5
2018-10-03,496572117700,1,213.75
2018-10-04,496572117700,7,1420.0
2018-10-05,496572117700,3,636.25
2018-10-06,496572117700,2,420.0
2018-10-07,496572117700,6,1215.0
2018-10-01,496572118514,12,1290.0
2018-10-02,496572118514,8,838.75
2018-10-03,496572118514,7,788.75
2018-10-04,496572118514,9,1006.25
2018-10-05,496572118514,5,561.25
2018-10-06,496572118514,5,545.0
2018-10-07,496572118514,4,457.5
2018-10-01,496572333586,11,1166.25
2018-10-02,496572333586,6,648.75
2018-10-03,496572333586,3,311.25
2018-10-04,496572333586,1,102.5
2018-10-05,496572333586,5,566.25
2018-10-06,496572333586,3,330.0
2018-10-07,496572333586,4,437.5
2018-10-01,496573321265,13,1450.0
2018-10-02,496573321265,8,902.5
2018-10-03,496573321265,6,690.0
2018-10-04,496573321265,9,1001.25
2018-10-05,496573321265,5,563.75
2018-10-06,496573321265,9,1042.5
2018-10-07,496573321265,3,356.25
2018-10-01,499572333179,10,892.5
2018-10-02,499572333179,9,797.5
2018-10-03,499572333179,11,926.25
2018-10-04,499572333179,6,545.0
2018-10-05,499572333179,9,776.25
2018-10-06,499572333179,9,793.75
2018-10-07,499572333179,3,266.25
2018-10-01,502573650759,7,751.25
2018-10-02,502573650759,4,433.75
2018-10-03,502573650759,3,310.0
2018-10-04,502573650759,5,583.75
2018-10-05,502573650759,9,995.0
2018-10-06,502573650759,3,316.25
2018-10-07,502573650759,4,445.0
2018-10-01,596572118162,6,518.75
2018-10-02,596572118162,5,423.75
2018-10-03,596572118162,4,363.75
2018-10-04,596572118162,2,167.5
2018-10-05,596572118162,2,183.75
2018-10-01,596572118723,15,1313.75
2018-10-02,596572118723,14,1206.25
2018-10-03,596572118723,7,613.75
2018-10-04,596572118723,9,761.25
2018-10-05,596572118723,6,517.5
2018-10-06,596572118723,4,351.25
2018-10-07,596572118723,4,335.0
2018-10-01,596573650847,12,1322.5
2018-10-02,596573650847,19,2097.5
2018-10-03,596573650847,11,1205.0
2018-10-04,596573650847,5,585.0
2018-10-05,596573650847,9,975.0
2018-10-06,596573650847,4,418.75
2018-10-07,596573650847,6,635.0
2018-10-01,602572551672,6,1046.25
2018-10-02,602572551672,9,1500.0
2018-10-03,602572551672,1,165.0
2018-10-04,602572551672,2,332.5
2018-10-05,602572551672,3,526.25
2018-10-06,602572551672,1,171.25
2018-10-07,602572551672,3,517.5
2018-10-01,608572774763,21,1390.0
2018-10-02,608572774763,15,968.75
2018-10-03,608572774763,15,1021.25
2018-10-04,608572774763,15,1016.25
2018-10-05,608572774763,3,183.75
2018-10-06,608572774763,3,188.75
2018-10-07,608572774763,7,447.5
2018-10-01,690572114917,23,2571.25
2018-10-02,690572114917,20,2135.0
2018-10-03,690572114917,17,1892.5
2018-10-04,690572114917,14,1462.5
2018-10-05,690572114917,13,1471.25
2018-10-06,690572114917,19,2042.5
2018-10-07,690572114917,12,1310.0
2018-10-01,690572118833,4,785.0
2018-10-02,690572118833,3,592.5
2018-10-03,690572118833,1,198.75
2018-10-04,690572118833,3,572.5
2018-10-05,690572118833,1,195.0
2018-10-06,690572118833,3,575.0
2018-10-01,696572115379,9,571.25
2018-10-02,696572115379,7,451.25
2018-10-03,696572115379,10,668.75
2018-10-04,696572115379,9,605.0
2018-10-05,696572115379,9,611.25
2018-10-06,696572115379,7,492.5
2018-10-07,696572115379,7,481.25
2018-10-01,696572117667,10,1920.0
2018-10-02,696572117667,9,1757.5
2018-10-03,696572117667,6,1120.0
2018-10-04,696572117667,4,780.0
2018-10-05,696572117667,7,1356.25
2018-10-06,696572117667,4,781.25
2018-10-07,696572117667,4,773.75
2018-10-01,696573650781,3,415.0
2018-10-02,696573650781,1,140.0
2018-10-03,696573650781,1,161.25
2018-10-04,696573650781,3,411.25
2018-10-05,696573650781,4,546.25
2018-10-06,696573650781,2,322.5
2018-10-07,696573650781,2,277.5
2018-10-01,702572225797,16,1058.75
2018-10-02,702572225797,14,907.5
2018-10-03,702572225797,16,1041.25
2018-10-04,702572225797,10,637.5
2018-10-05,702572225797,11,702.5
2018-10-06,702572225797,10,633.75
2018-10-07,702572225797,3,198.75
2018-10-01,702573650594,12,1288.75
2018-10-02,702573650594,4,462.5
2018-10-03,702573650594,5,563.75
2018-10-04,702573650594,5,530.0
2018-10-05,702573650594,4,446.25
2018-10-06,702573650594,5,565.0
2018-10-07,702573650594,5,555.0
2018-10-01,702573870715,3,450.0
2018-10-02,702573870715,7,976.25
2018-10-03,702573870715,5,726.25
2018-10-04,702573870715,3,442.5
2018-10-05,702573870715,2,283.75
2018-10-06,702573870715,6,821.25
2018-10-07,702573870715,5,720.0
2018-10-01,702573870858,8,1131.25
2018-10-02,702573870858,5,715.0
2018-10-03,702573870858,3,452.5
2018-10-04,702573870858,4,595.0
2018-10-05,702573870858,3,398.75
2018-10-06,702573870858,1,136.25
2018-10-07,702573870858,2,277.5
2018-10-01,790572118833,5,736.25
2018-10-02,790572118833,2,290.0
2018-10-03,790572118833,8,1231.25
2018-10-04,790572118833,2,288.75
2018-10-06,790572118833,1,145.0
2018-10-07,790572118833,2,296.25
2018-10-01,796573650638,24,3621.25
2018-10-02,796573650638,21,3233.75
2018-10-03,796573650638,23,3581.25
2018-10-04,796573650638,12,1758.75
2018-10-05,796573650638,16,2365.0
2018-10-06,796573650638,13,1935.0
2018-10-07,796573650638,17,2563.75
2018-10-01,802573650495,6,1246.25
2018-10-02,802573650495,11,2327.5
2018-10-03,802573650495,9,1935.0
2018-10-04,802573650495,5,1053.75
2018-10-05,802573650495,10,2110.0
2018-10-06,802573650495,7,1443.75
2018-10-07,802573650495,3,627.5
2018-10-01,802573650803,5,1037.5
2018-10-02,802573650803,4,817.5
2018-10-05,802573650803,3,603.75
2018-10-06,802573650803,1,206.25
2018-10-07,802573650803,3,626.25
2018-10-02,802573870715,4,536.25
2018-10-03,802573870715,2,273.75
2018-10-05,802573870715,2,273.75
2018-10-01,890572114477,10,1133.75
2018-10-02,890572114477,8,891.25
2018-10-03,890572114477,5,547.5
2018-10-04,890572114477,8,853.75
2018-10-05,890572114477,6,680.0
2018-10-06,890572114477,7,768.75
2018-10-07,890572114477,7,761.25
2018-10-01,896572118954,12,1286.25
2018-10-02,896572118954,16,1776.25
2018-10-03,896572118954,8,853.75
2018-10-04,896572118954,7,761.25
2018-10-05,896572118954,4,442.5
2018-10-06,896572118954,7,810.0
2018-10-07,896572118954,6,662.5
2018-10-01,896573870660,9,1271.25
2018-10-02,896573870660,5,746.25
2018-10-03,896573870660,5,721.25
2018-10-04,896573870660,2,295.0
2018-10-05,896573870660,1,161.25
2018-10-06,896573870660,2,276.25
2018-10-07,896573870660,4,581.25
2018-10-01,902572118613,8,868.75
2018-10-02,902572118613,6,652.5
2018-10-03,902572118613,8,873.75
2018-10-04,902572118613,2,235.0
2018-10-05,902572118613,4,455.0
2018-10-06,902572118613,3,340.0
2018-10-07,902572118613,9,1005.0
2018-10-01,902573320275,20,1346.25
2018-10-02,902573320275,16,1085.0
2018-10-03,902573320275,13,885.0
2018-10-04,902573320275,7,467.5
2018-10-05,902573320275,17,1093.75
2018-10-06,902573320275,17,1161.25
2018-10-07,902573320275,12,826.25
2018-10-01,902573870176,8,1062.5
2018-10-02,902573870176,4,523.75
2018-10-03,902573870176,7,872.5
2018-10-04,902573870176,6,792.5
2018-10-05,902573870176,2,258.75
2018-10-06,902573870176,3,383.75
2018-10-07,902573870176,2,263.75
2018-10-01,996572333025,19,2061.25
2018-10-02,996572333025,14,1508.75
2018-10-03,996572333025,4,435.0
2018-10-04,996572333025,10,1053.75
2018-10-05,996572333025,3,336.25
2018-10-06,996572333025,7,762.5
2018-10-07,996572333025,10,1043.75
2018-10-01,996573870572,13,2342.5
2018-10-02,996573870572,9,1645.0
2018-10-03,996573870572,10,1782.5
2018-10-04,996573870572,14,2562.5
2018-10-05,996573870572,17,2905.0
2018-10-06,996573870572,10,1800.0
2018-10-07,996573870572,9,1513.75
2019-10-01,100572118316,4,313.75
2019-10-02,100572118316,6,520.0
2019-10-03,100572118316,3,282.5
2019-10-04,100572118316,4,333.75
2019-10-05,100572118316,3,270.0
2019-10-06,100572118316,2,182.5
2019-10-07,100572118316,3,278.75
2019-10-03,102572118283,1,80.0
2019-10-04,102572118283,1,85.0
2019-10-01,102573321111,23,1421.25
2019-10-02,102573321111,13,857.5
2019-10-03,102573321111,11,736.25
2019-10-04,102573321111,10,656.25
2019-10-05,102573321111,12,848.75
2019-10-06,102573321111,7,483.75
2019-10-07,102573321111,6,388.75
2019-10-02,102573650748,1,147.5
2019-10-05,102573650748,1,55.0
2019-10-07,102573650748,1,146.25
2019-10-04,196573870759,1,105.0
2019-10-01,296572114433,9,540.0
2019-10-02,296572114433,14,943.75
2019-10-03,296572114433,9,603.75
2019-10-04,296572114433,7,476.25
2019-10-05,296572114433,3,197.5
2019-10-06,296572114433,2,147.5
2019-10-07,296572114433,4,277.5
2019-10-06,296572551749,1,85.0
2019-10-01,302572775577,3,133.75
2019-10-02,302572775577,1,63.75
2019-10-03,302572775577,4,275.0
2019-10-04,302572775577,1,62.5
2019-10-05,302572775577,2,130.0
2019-10-06,302572775577,1,62.5
2019-10-07,302572775577,2,130.0
2019-10-01,390572118052,3,493.75
2019-10-02,390572118052,1,197.5
2019-10-03,390572118052,2,408.75
2019-10-04,390572118052,1,195.0
2019-10-06,390572118052,1,183.75
2019-10-07,390572118052,1,192.5
2019-10-01,391572223674,11,642.5
2019-10-02,391572223674,7,437.5
2019-10-03,391572223674,7,441.25
2019-10-04,391572223674,3,200.0
2019-10-05,391572223674,2,125.0
2019-10-06,391572223674,8,528.75
2019-10-07,391572223674,6,428.75
2019-10-01,396573870484,1,136.25
2019-10-01,396573870660,9,1372.5
2019-10-02,396573870660,8,1356.25
2019-10-03,396573870660,7,1181.25
2019-10-04,396573870660,2,370.0
2019-10-05,396573870660,3,542.5
2019-10-06,396573870660,2,330.0
2019-10-07,396573870660,2,333.75
2019-10-01,402573650792,1,125.0
2019-10-02,402573650792,2,266.25
2019-10-05,402573650792,1,132.5
2019-10-01,408572660891,1,98.75
2019-10-04,408572660891,1,98.75
2019-10-05,408572660891,4,373.75
2019-10-06,408572660891,2,175.0
2019-10-01,433572114917,13,987.5
2019-10-02,433572114917,11,963.75
2019-10-03,433572114917,5,420.0
2019-10-04,433572114917,11,990.0
2019-10-05,433572114917,7,601.25
2019-10-06,433572114917,8,731.25
2019-10-07,433572114917,5,450.0
2019-10-01,490572114587,5,465.0
2019-10-02,490572114587,4,413.75
2019-10-03,490572114587,2,215.0
2019-10-04,490572114587,2,217.5
2019-10-05,490572114587,1,123.75
2019-10-06,490572114587,1,123.75
2019-10-07,490572114587,2,215.0
2019-10-01,496572117700,3,528.75
2019-10-03,496572117700,2,425.0
2019-10-04,496572117700,2,427.5
2019-10-06,496572117700,1,203.75
2019-10-07,496572117700,1,203.75
2019-10-01,496572118514,2,192.5
2019-10-02,496572118514,2,131.25
2019-10-05,496572118514,2,231.25
2019-10-07,496572118514,1,37.5
2019-10-01,496572333586,2,97.5
2019-10-06,496572333586,2,28.75
2019-10-01,496573321265,8,772.5
2019-10-02,496573321265,3,317.5
2019-10-03,496573321265,4,430.0
2019-10-04,496573321265,4,443.75
2019-10-05,496573321265,2,235.0
2019-10-06,496573321265,4,458.75
2019-10-07,496573321265,2,221.25
2019-10-01,499572333179,4,283.75
2019-10-02,499572333179,5,440.0
2019-10-03,499572333179,2,182.5
2019-10-04,499572333179,3,265.0
2019-10-05,499572333179,4,360.0
2019-10-06,499572333179,3,263.75
2019-10-07,499572333179,2,167.5
2019-10-01,502573650759,4,361.25
2019-10-02,502573650759,2,247.5
2019-10-03,502573650759,5,563.75
2019-10-04,502573650759,2,222.5
2019-10-05,502573650759,3,328.75
2019-10-06,502573650759,3,355.0
2019-10-07,502573650759,2,230.0
2019-10-01,596572118162,5,447.5
2019-10-02,596572118162,6,500.0
2019-10-03,596572118162,1,83.75
2019-10-04,596572118162,3,247.5
2019-10-05,596572118162,4,378.75
2019-10-06,596572118162,2,180.0
2019-10-01,596572118723,2,177.5
2019-10-04,596572118723,2,170.0
2019-10-05,596572118723,2,191.25
2019-10-06,596572118723,1,85.0
2019-10-01,596573650847,7,631.25
2019-10-02,596573650847,7,743.75
2019-10-03,596573650847,5,577.5
2019-10-04,596573650847,5,546.25
2019-10-05,596573650847,1,123.75
2019-10-06,596573650847,2,238.75
2019-10-07,596573650847,3,353.75
2019-10-01,602572551672,1,152.5
2019-10-01,608572774763,4,231.25
2019-10-02,608572774763,3,198.75
2019-10-03,608572774763,1,62.5
2019-10-04,608572774763,3,201.25
2019-10-06,608572774763,1,73.75
2019-10-07,608572774763,3,197.5
2019-10-01,690572114917,9,842.5
2019-10-02,690572114917,11,1195.0
2019-10-03,690572114917,5,537.5
2019-10-04,690572114917,5,543.75
2019-10-05,690572114917,2,247.5
2019-10-06,690572114917,2,213.75
2019-10-07,690572114917,1,105.0
2019-10-02,690572118833,1,183.75
2019-10-03,690572118833,1,22.5
2019-10-04,690572118833,1,192.5
2019-10-05,690572118833,1,186.25
2019-10-07,690572118833,1,195.0
2019-10-01,696572115379,7,425.0
2019-10-02,696572115379,7,482.5
2019-10-03,696572115379,6,402.5
2019-10-04,696572115379,4,287.5
2019-10-05,696572115379,7,472.5
2019-10-06,696572115379,2,140.0
2019-10-07,696572115379,3,211.25
2019-10-03,696572117667,1,190.0
2019-10-01,702572225797,4,242.5
