date_rcd,skc,s,real_cost
2019-10-02,702572225797,4,275.0
2019-10-03,702572225797,5,322.5
2019-10-05,702572225797,4,270.0
2019-10-06,702572225797,2,147.5
2019-10-07,702572225797,1,67.5
2019-10-01,702573650594,1,88.75
2019-10-02,702573650594,4,423.75
2019-10-03,702573650594,1,103.75
2019-10-04,702573650594,4,465.0
2019-10-06,702573650594,2,216.25
2019-10-03,702573870715,1,161.25
2019-10-01,796573650638,26,3348.75
2019-10-02,796573650638,18,2743.75
2019-10-03,796573650638,26,3932.5
2019-10-04,796573650638,18,2701.25
2019-10-05,796573650638,13,2003.75
2019-10-06,796573650638,10,1526.25
2019-10-07,796573650638,13,2033.75
2019-10-01,802573650495,1,181.25
2019-10-03,802573650495,2,418.75
2019-10-04,802573650495,2,398.75
2019-10-06,802573650495,1,213.75
2019-10-07,802573650495,2,460.0
2019-10-01,802573650803,4,703.75
2019-10-02,802573650803,3,630.0
2019-10-03,802573650803,3,637.5
2019-10-04,802573650803,5,1067.5
2019-10-05,802573650803,1,211.25
2019-10-06,802573650803,2,413.75
2019-10-02,802573870715,1,141.25
2019-10-01,890572114477,2,178.75
2019-10-02,890572114477,3,335.0
2019-10-01,896573870660,1,125.0
2019-10-01,902573320275,8,511.25
2019-10-02,902573320275,15,1007.5
2019-10-03,902573320275,17,1132.5
2019-10-04,902573320275,9,608.75
2019-10-05,902573320275,11,736.25
2019-10-06,902573320275,14,953.75
2019-10-07,902573320275,6,425.0
2019-10-03,996572333025,1,105.0
2019-10-05,996572333025,1,103.75
2019-10-06,996572333025,1,106.25
2019-10-07,996572333025,1,107.5
2019-10-01,996573870572,1,147.5
2019-10-02,996573870572,2,337.5
2019-10-03,996573870572,3,552.5
2019-10-06,996573870572,1,162.5
2018-01-01,102573321111,3,182.5
2018-01-01,296572114433,17,1078.75
2018-01-01,391572223674,18,1170.0
2018-01-01,396573870484,3,435.0
2018-01-01,396573870660,8,1330.0
2018-01-01,408572660891,10,822.5
2018-01-01,433572114917,14,1130.0
2018-01-01,490572114587,8,875.0
2018-01-01,499572333179,2,165.0
2018-01-01,608572774763,10,628.75
2018-01-01,690572114917,6,645.0
2018-01-01,696572115379,9,578.75
2018-01-01,802573650495,1,206.25
2018-01-01,890572114477,12,1277.5
2018-01-01,896573870660,4,541.25
2018-01-01,902573320275,11,723.75
2018-01-01,902573870176,4,493.75
2018-01-01,996572333025,4,408.75
2018-01-01,996573870572,4,700.0
2018-12-30,100572118316,6,520.0
2018-12-31,100572118316,8,712.5
2019-01-01,100572118316,16,1413.75
2018-12-30,102572118283,2,170.0
2018-12-31,102572118283,11,938.75
2019-01-01,102572118283,4,375.0
2018-12-30,102573321111,10,600.0
2018-12-31,102573321111,11,630.0
2019-01-01,102573321111,5,337.5
2018-12-30,102573650748,2,330.0
2018-12-31,102573650748,4,631.25
2019-01-01,102573650748,2,347.5
2018-12-31,196573870759,1,111.25
2018-12-30,296572114433,7,415.0
2018-12-31,296572114433,11,716.25
2019-01-01,296572114433,16,1052.5
2018-12-30,296572551749,6,537.5
2018-12-31,296572551749,8,675.0
2019-01-01,296572551749,7,601.25
2018-12-30,302572775577,11,743.75
2018-12-31,302572775577,13,767.5
2019-01-01,302572775577,16,1038.75
2018-12-30,390572118052,3,556.25
2018-12-31,390572118052,7,1368.75
2019-01-01,390572118052,6,1176.25
2018-12-30,391572223674,10,660.0
2018-12-31,391572223674,17,1101.25
2019-01-01,391572223674,16,995.0
2018-12-30,396572118745,2,217.5
2018-12-31,396572118745,3,356.25
2019-01-01,396572118745,2,191.25
2018-12-31,396573870484,1,152.5
2019-01-01,396573870484,1,132.5
2018-12-30,396573870660,3,491.25
2018-12-31,396573870660,3,546.25
2019-01-01,396573870660,5,875.0
2018-12-30,402573650792,1,161.25
2018-12-31,402573650792,5,727.5
2019-01-01,402573650792,8,1133.75
2018-12-30,408572660891,2,170.0
2018-12-31,408572660891,5,426.25
2019-01-01,408572660891,6,532.5
2018-12-30,433572114917,6,555.0
2018-12-31,433572114917,9,803.75
2019-01-01,433572114917,15,1263.75
2018-12-30,490572114587,11,1195.0
2018-12-31,490572114587,9,1012.5
2019-01-01,490572114587,8,900.0
2018-12-30,496572117700,1,218.75
2019-01-01,496572117700,4,900.0
2018-12-30,496572118514,5,573.75
2018-12-31,496572118514,4,452.5
2019-01-01,496572118514,3,328.75
2018-12-30,496572333586,2,172.5
2019-01-01,496572333586,1,108.75
2018-12-30,496573321265,5,480.0
2018-12-31,496573321265,8,846.25
2019-01-01,496573321265,7,762.5
2018-12-30,499572333179,2,185.0
2018-12-31,499572333179,2,185.0
2019-01-01,499572333179,2,147.5
2018-12-30,502573650759,3,356.25
2018-12-31,502573650759,5,563.75
2019-01-01,502573650759,7,793.75
2018-12-30,596572118162,3,258.75
2018-12-31,596572118162,2,172.5
2019-01-01,596572118162,9,777.5
2018-12-30,596572118723,2,172.5
2018-12-31,596572118723,2,172.5
2019-01-01,596572118723,7,560.0
2018-12-30,596573650847,9,978.75
2018-12-31,596573650847,10,1090.0
2019-01-01,596573650847,10,1132.5
2018-12-30,602572551672,2,335.0
2018-12-31,602572551672,4,695.0
2019-01-01,602572551672,1,160.0
2018-12-30,608572774763,13,827.5
2018-12-31,608572774763,19,1240.0
2019-01-01,608572774763,13,868.75
2018-12-30,690572114917,14,1550.0
2018-12-31,690572114917,9,1003.75
2019-01-01,690572114917,7,742.5
2018-12-30,690572118833,3,463.75
2018-12-31,690572118833,2,392.5
2018-12-30,696572115379,2,137.5
2018-12-31,696572115379,5,318.75
2019-01-01,696572115379,9,595.0
2018-12-30,696572117667,3,621.25
2018-12-31,696572117667,1,196.25
2019-01-01,696572117667,5,961.25
2018-12-31,696573650781,1,145.0
2018-12-30,702572225797,6,411.25
2018-12-31,702572225797,9,590.0
2019-01-01,702572225797,12,815.0
2018-12-30,702573650594,3,356.25
2018-12-31,702573650594,10,1130.0
2019-01-01,702573650594,5,498.75
2018-12-30,702573870715,1,161.25
2018-12-31,702573870715,3,450.0
2019-01-01,702573870715,3,451.25
2018-12-30,702573870858,1,161.25
2018-12-31,702573870858,1,141.25
2018-12-30,790572118833,1,147.5
2018-12-31,790572118833,4,656.25
2019-01-01,790572118833,5,738.75
2018-12-30,796573650638,11,1658.75
2018-12-31,796573650638,18,2771.25
2019-01-01,796573650638,16,2487.5
2018-12-30,802573650495,6,1355.0
2018-12-31,802573650495,7,1561.25
2019-01-01,802573650495,4,866.25
2018-12-30,802573650803,5,1156.25
2018-12-31,802573650803,4,766.25
2019-01-01,802573650803,4,842.5
2018-12-30,802573870715,1,145.0
2019-01-01,802573870715,3,406.25
2018-12-30,890572114477,6,637.5
2018-12-31,890572114477,3,303.75
2019-01-01,890572114477,6,630.0
2018-12-30,896572118954,3,342.5
2018-12-31,896572118954,2,220.0
2018-12-30,896573870660,1,141.25
2018-12-31,896573870660,1,141.25
2019-01-01,896573870660,1,145.0
2018-12-30,902572118613,5,560.0
2018-12-31,902572118613,12,1355.0
2019-01-01,902572118613,8,857.5
2018-12-30,902573320275,13,847.5
2018-12-31,902573320275,16,953.75
2019-01-01,902573320275,13,851.25
2018-12-30,996572333025,3,318.75
2018-12-31,996572333025,3,326.25
2019-01-01,996572333025,7,752.5
2018-12-30,996573870572,2,367.5
2018-12-31,996573870572,9,1565.0
2019-01-01,996573870572,5,868.75
2018-01-01,102573321111,3,182.5
2018-01-01,296572114433,17,1078.75
2018-01-01,391572223674,18,1170.0
2018-01-01,396573870484,3,435.0
2018-01-01,396573870660,8,1330.0
2018-01-01,408572660891,10,822.5
2018-01-01,433572114917,14,1130.0
2018-01-01,490572114587,8,875.0
2018-01-01,499572333179,2,165.0
2018-01-01,608572774763,10,628.75
2018-01-01,690572114917,6,645.0
2018-01-01,696572115379,9,578.75
2018-01-01,802573650495,1,206.25
2018-01-01,890572114477,12,1277.5
2018-01-01,896573870660,4,541.25
2018-01-01,902573320275,11,723.75
2018-01-01,902573870176,4,493.75
2018-01-01,996572333025,4,408.75
2018-01-01,996573870572,4,700.0
2018-12-30,100572118316,6,520.0
2018-12-31,100572118316,8,712.5
2019-01-01,100572118316,16,1413.75
2018-12-30,102572118283,2,170.0
2018-12-31,102572118283,11,938.75
2019-01-01,102572118283,4,375.0
2018-12-30,102573321111,10,600.0
2018-12-31,102573321111,11,630.0
2019-01-01,102573321111,5,337.5
2018-12-30,102573650748,2,330.0
2018-12-31,102573650748,4,631.25
2019-01-01,102573650748,2,347.5
2018-12-31,196573870759,1,111.25
2018-12-30,296572114433,7,415.0
2018-12-31,296572114433,11,716.25
2019-01-01,296572114433,16,1052.5
2018-12-30,296572551749,6,537.5
2018-12-31,296572551749,8,675.0
2019-01-01,296572551749,7,601.25
2018-12-30,302572775577,11,743.75
2018-12-31,302572775577,13,767.5
2019-01-01,302572775577,16,1038.75
2018-12-30,390572118052,3,556.25
2018-12-31,390572118052,7,1368.75
2019-01-01,390572118052,6,1176.25
2018-12-30,391572223674,10,660.0
2018-12-31,391572223674,17,1101.25
2019-01-01,391572223674,16,995.0
2018-12-30,396572118745,2,217.5
2018-12-31,396572118745,3,356.25
2019-01-01,396572118745,2,191.25
2018-12-31,396573870484,1,152.5
2019-01-01,396573870484,1,132.5
2018-12-30,396573870660,3,491.25
2018-12-31,396573870660,3,546.25
2019-01-01,396573870660,5,875.0
2018-12-30,402573650792,1,161.25
2018-12-31,402573650792,5,727.5
2019-01-01,402573650792,8,1133.75
2018-12-30,408572660891,2,170.0
2018-12-31,408572660891,5,426.25
2019-01-01,408572660891,6,532.5
2018-12-30,433572114917,6,555.0
2018-12-31,433572114917,9,803.75
2019-01-01,433572114917,15,1263.75
2018-12-30,490572114587,11,1195.0
2018-12-31,490572114587,9,1012.5
2019-01-01,490572114587,8,900.0
2018-12-30,496572117700,1,218.75
2019-01-01,496572117700,4,900.0
2018-12-30,496572118514,5,573.75
2018-12-31,496572118514,4,452.5
2019-01-01,496572118514,3,328.75
2018-12-30,496572333586,2,172.5
2019-01-01,496572333586,1,108.75
2018-12-30,496573321265,5,480.0
2018-12-31,496573321265,8,846.25
2019-01-01,496573321265,7,762.5
2018-12-30,499572333179,2,185.0
2018-12-31,499572333179,2,185.0
2019-01-01,499572333179,2,147.5
2018-12-30,502573650759,3,356.25
2018-12-31,502573650759,5,563.75
2019-01-01,502573650759,7,793.75
2018-12-30,596572118162,3,258.75
2018-12-31,596572118162,2,172.5
2019-01-01,596572118162,9,777.5
2018-12-30,596572118723,2,172.5
2018-12-31,596572118723,2,172.5
2019-01-01,596572118723,7,560.0
2018-12-30,596573650847,9,978.75
2018-12-31,596573650847,10,1090.0
2019-01-01,596573650847,10,1132.5
2018-12-30,602572551672,2,335.0
2018-12-31,602572551672,4,695.0
2019-01-01,602572551672,1,160.0
2018-12-30,608572774763,13,827.5
2018-12-31,608572774763,19,1240.0
2019-01-01,608572774763,13,868.75
2018-12-30,690572114917,14,1550.0
2018-12-31,690572114917,9,1003.75
2019-01-01,690572114917,7,742.5
2018-12-30,690572118833,3,463.75
2018-12-31,690572118833,2,392.5
2018-12-30,696572115379,2,137.5
2018-12-31,696572115379,5,318.75
2019-01-01,696572115379,9,595.0
2018-12-30,696572117667,3,621.25
2018-12-31,696572117667,1,196.25
2019-01-01,696572117667,5,961.25
2018-12-31,696573650781,1,145.0
2018-12-30,702572225797,6,411.25
2018-12-31,702572225797,9,590.0
2019-01-01,702572225797,12,815.0
2018-12-30,702573650594,3,356.25
2018-12-31,702573650594,10,1130.0
2019-01-01,702573650594,5,498.75
2018-12-30,702573870715,1,161.25
2018-12-31,702573870715,3,450.0
2019-01-01,702573870715,3,451.25
2018-12-30,702573870858,1,161.25
2018-12-31,702573870858,1,141.25
2018-12-30,790572118833,1,147.5
2018-12-31,790572118833,4,656.25
2019-01-01,790572118833,5,738.75
2018-12-30,796573650638,11,1658.75
2018-12-31,796573650638,18,2771.25
2019-01-01,796573650638,16,2487.5
2018-12-30,802573650495,6,1355.0
2018-12-31,802573650495,7,1561.25
2019-01-01,802573650495,4,866.25
2018-12-30,802573650803,5,1156.25
2018-12-31,802573650803,4,766.25
2019-01-01,802573650803,4,842.5
2018-12-30,802573870715,1,145.0
2019-01-01,802573870715,3,406.25
2018-12-30,890572114477,6,637.5
2018-12-31,890572114477,3,303.75
2019-01-01,890572114477,6,630.0
2018-12-30,896572118954,3,342.5
2018-12-31,896572118954,2,220.0
2018-12-30,896573870660,1,141.25
2018-12-31,896573870660,1,141.25
2019-01-01,896573870660,1,145.0
2018-12-30,902572118613,5,560.0
2018-12-31,902572118613,12,1355.0
2019-01-01,902572118613,8,857.5
2018-12-30,902573320275,13,847.5
2018-12-31,902573320275,16,953.75
2019-01-01,902573320275,13,851.25
2018-12-30,996572333025,3,318.75
2018-12-31,996572333025,3,326.25
2019-01-01,996572333025,7,752.5
2018-12-30,996573870572,2,367.5
2018-12-31,996573870572,9,1565.0
2019-01-01,996573870572,5,868.75
2018-11-11,100572118316,10,843.75
2018-11-11,102572118283,8,695.0
2018-11-11,102573321111,12,810.0
2018-11-11,102573650748,5,767.5
2018-11-11,196573870759,4,441.25
2018-11-11,296572114433,13,891.25
2018-11-11,296572551749,1,98.75
2018-11-11,302572775577,10,646.25
2018-11-11,390572118052,2,381.25
2018-11-11,391572223674,11,716.25
2018-11-11,396572118745,1,105.0
2018-11-11,396573870484,1,147.5
2018-11-11,396573870660,4,696.25
2018-11-11,402573650792,5,708.75
2018-11-11,408572660891,1,85.0
2018-11-11,433572114917,7,617.5
2018-11-11,490572114587,3,321.25
2018-11-11,496572117700,2,445.0
2018-11-11,496572118514,3,256.25
2018-11-11,496572333586,1,116.25
2018-11-11,496573321265,6,693.75
2018-11-11,499572333179,1,83.75
2018-11-11,502573650759,1,113.75
2018-11-11,596572118162,6,515.0
2018-11-11,596572118723,4,378.75
2018-11-11,596573650847,3,321.25
2018-11-11,602572551672,2,353.75
2018-11-11,608572774763,4,257.5
2018-11-11,690572114917,12,1317.5
2018-11-11,690572118833,2,256.25
2018-11-11,696572115379,7,432.5
2018-11-11,696572117667,1,193.75
2018-11-11,696573650781,3,290.0
2018-11-11,702572225797,9,623.75
2018-11-11,702573650594,2,208.75
2018-11-11,702573870715,6,906.25
2018-11-11,702573870858,1,138.75
2018-11-11,790572118833,1,147.5
2018-11-11,796573650638,16,2491.25
2018-11-11,802573650495,2,483.75
2018-11-11,802573650803,8,1740.0
2018-11-11,802573870715,1,47.5
2018-11-11,890572114477,7,792.5
2018-11-11,896572118954,12,627.5
2018-11-11,902572118613,7,751.25
2018-11-11,902573320275,13,902.5
2018-11-11,996572333025,2,210.0
2018-11-11,996573870572,6,1066.25
2019-11-11,100572118316,2,97.5
2019-11-11,102573321111,12,567.5
2019-11-11,296572114433,1,36.25
2019-11-11,302572775577,3,180.0
2019-11-11,391572223674,13,660.0
2019-11-11,396573870660,2,197.5
2019-11-11,402573650792,1,161.25
2019-11-11,408572660891,1,98.75
2019-11-11,433572114917,3,246.25
2019-11-11,490572114587,1,123.75
2019-11-11,496573321265,5,618.75
2019-11-11,502573650759,3,308.75
2019-11-11,596572118162,2,147.5
2019-11-11,596572118723,5,443.75
2019-11-11,596573650847,6,680.0
2019-11-11,608572774763,3,168.75
2019-11-11,690572114917,5,556.25
2019-11-11,696572115379,2,110.0
2019-11-11,702572225797,4,182.5
2019-11-11,702573650594,1,123.75
2019-11-11,702573870715,1,161.25
2019-11-11,796573650638,8,1090.0
2019-11-11,802573650495,1,248.75
2019-11-11,802573650803,1,223.75
2019-11-11,890572114477,1,61.25
2019-11-11,902573320275,7,403.75
2018-12-12,100572118316,7,501.25
2018-12-12,102572118283,3,206.25
2018-12-12,102573321111,4,227.5
2018-12-12,102573650748,2,242.5
2018-12-12,196573870759,3,258.75
2018-12-12,296572114433,15,762.5
2018-12-12,302572775577,8,432.5
2018-12-12,390572118052,6,960.0
2018-12-12,391572223674,13,726.25
2018-12-12,396572118745,5,456.25
2018-12-12,396573870484,2,257.5
2018-12-12,396573870660,3,438.75
2018-12-12,402573650792,1,15.0
2018-12-12,408572660891,7,601.25
2018-12-12,433572114917,16,1022.5
2018-12-12,490572114587,7,566.25
2018-12-12,496572118514,3,296.25
2018-12-12,496572333586,3,281.25
2018-12-12,496573321265,6,630.0
2018-12-12,499572333179,5,393.75
2018-12-12,502573650759,3,283.75
2018-12-12,596572118162,8,616.25
2018-12-12,596572118723,9,618.75
2018-12-12,596573650847,7,603.75
2018-12-12,602572551672,1,138.75
2018-12-12,608572774763,12,691.25
2018-12-12,690572114917,7,691.25
2018-12-12,690572118833,1,195.0
2018-12-12,696572115379,1,73.75
2018-12-12,696572117667,7,1138.75
2018-12-12,696573650781,2,273.75
2018-12-12,702572225797,9,491.25
2018-12-12,702573650594,2,172.5
2018-12-12,702573870715,1,98.75
2018-12-12,790572118833,2,295.0
2018-12-12,796573650638,12,1590.0
2018-12-12,802573650495,3,521.25
2018-12-12,802573650803,2,385.0
2018-12-12,802573870715,1,112.5
2018-12-12,890572114477,6,580.0
2018-12-12,896572118954,9,801.25
2018-12-12,902572118613,5,431.25
2018-12-12,902573320275,17,968.75
2018-12-12,902573870176,2,273.75
2018-12-12,996572333025,1,86.25
2018-12-12,996573870572,8,1110.0
2019-12-12,100572118316,2,173.75
2019-12-12,102573321111,12,793.75
2019-12-12,296572114433,4,278.75
2019-12-12,302572775577,5,317.5
2019-12-12,390572118052,5,997.5
2019-12-12,391572223674,3,165.0
2019-12-12,396573870660,1,180.0
2019-12-12,433572114917,1,83.75
2019-12-12,496573321265,6,630.0
2019-12-12,499572333179,1,88.75
2019-12-12,502573650759,1,36.25
2019-12-12,596573650847,3,283.75
2019-12-12,690572114917,4,308.75
2019-12-12,690572118833,1,211.25
2019-12-12,696572115379,1,67.5
2019-12-12,702572225797,8,496.25
2019-12-12,796573650638,5,758.75
2019-12-12,802573650803,1,223.75
2019-12-12,890572114477,1,123.75
2019-12-12,902573320275,12,723.75
